Bitcoin,https://s2.coinmarketcap.com/static/img/coins/32x32/1.png
Ethereum,https://s2.coinmarketcap.com/static/img/coins/32x32/1027.png
Tether,https://s2.coinmarketcap.com/static/img/coins/32x32/825.png
XRP,https://s2.coinmarketcap.com/static/img/coins/32x32/52.png
Polkadot,https://s2.coinmarketcap.com/static/img/coins/32x32/6636.png
Bitcoin Cash,https://s2.coinmarketcap.com/static/img/coins/32x32/1831.png
Binance Coin,https://s2.coinmarketcap.com/static/img/coins/32x32/1839.png
Chainlink,https://s2.coinmarketcap.com/static/img/coins/32x32/1975.png
Crypto.com Coin,https://s2.coinmarketcap.com/static/img/coins/32x32/3635.png
Litecoin,https://s2.coinmarketcap.com/static/img/coins/32x32/2.png
Bitcoin SV,https://s2.coinmarketcap.com/static/img/coins/32x32/3602.png
Cardano,https://s2.coinmarketcap.com/static/img/coins/32x32/2010.png
EOS,https://s2.coinmarketcap.com/static/img/coins/32x32/1765.png
USD Coin,https://s2.coinmarketcap.com/static/img/coins/32x32/3408.png
TRON,https://s2.coinmarketcap.com/static/img/coins/32x32/1958.png
Tezos,https://s2.coinmarketcap.com/static/img/coins/32x32/2011.png
Stellar,https://s2.coinmarketcap.com/static/img/coins/32x32/512.png
Monero,https://s2.coinmarketcap.com/static/img/coins/32x32/328.png
Neo,https://s2.coinmarketcap.com/static/img/coins/32x32/1376.png
UNUS SED LEO,https://s2.coinmarketcap.com/static/img/coins/32x32/3957.png
Cosmos,https://s2.coinmarketcap.com/static/img/coins/32x32/3794.png
Huobi Token,https://s2.coinmarketcap.com/static/img/coins/32x32/2502.png
NEM,https://s2.coinmarketcap.com/static/img/coins/32x32/873.png
yearn.finance,https://s2.coinmarketcap.com/static/img/coins/32x32/5864.png
VeChain,https://s2.coinmarketcap.com/static/img/coins/32x32/3077.png
UMA,https://s2.coinmarketcap.com/static/img/coins/32x32/5617.png
IOTA,https://s2.coinmarketcap.com/static/img/coins/32x32/1720.png
Aave,https://s2.coinmarketcap.com/static/img/coins/32x32/2239.png
Dash,https://s2.coinmarketcap.com/static/img/coins/32x32/131.png
